Country,Code,Year,Incidence - HIV/AIDS - Sex: Both - Age: All Ages (Number),Pop,Infected_percent_pop
Cuba,CUB,1993,213,10789312,0.001974176
Cyprus,CYP,1993,5,818750,0.000610687
Czechia,CZE,1993,29,10329855,0.00028074
Democratic Republic of Congo,COD,1993,79158,38815835,0.203932235
Denmark,DNK,1993,295,5188628,0.005685511
Djibouti,DJI,1993,513,618504,0.082942067
Dominica,DMA,1993,15,70818,0.021181056
Dominican Republic,DOM,1993,8077,7546467,0.107030217
Ecuador,ECU,1993,554,10961460,0.005054071
Egypt,EGY,1993,142,59880656,0.000237138
El Salvador,SLV,1993,922,5490478,0.016792709
Equatorial Guinea,GNQ,1993,726,462637,0.156926489
Eritrea,ERI,1993,7622,2238631,0.340475943
Estonia,EST,1993,6,1494128,0.000401572
Eswatini,SWZ,1993,9471,887706,1.066907287
Ethiopia,ETH,1993,246978,53295556,0.463411996
Fiji,FJI,1993,18,754962,0.002384226
Finland,FIN,1993,34,5066447,0.000671082
France,FRA,1993,2510,59106758,0.004246553
Gabon,GAB,1993,3261,1029769,0.316672963
Gambia,GMB,1993,962,1060861,0.09068106
Georgia,GEO,1993,7,4911100,0.000142534
Germany,DEU,1993,2837,81156363,0.003495721
Ghana,GHA,1993,33407,16106756,0.20740986
Greece,GRC,1993,84,10460415,0.000803027
Greenland,GRL,1993,9,55200,0.016304348
Grenada,GRD,1993,15,98234,0.015269662
Guam,GUM,1993,6,139813,0.004291446
Guatemala,GTM,1993,669,9790619,0.006833072
Guinea,GIN,1993,5192,6897171,0.07527724
Guinea-Bissau,GNB,1993,1730,1043421,0.165800765
Guyana,GUY,1993,483,754141,0.064046379
Haiti,HTI,1993,23914,7460684,0.320533613
Honduras,HND,1993,313,5394416,0.005802296
Hungary,HUN,1993,115,10357523,0.001110304
Iceland,ISL,1993,6,263725,0.002275097
India,IND,1993,134339,927403866,0.014485491
Indonesia,IDN,1993,1582,190851184,0.000828918
Iran,IRN,1993,152,59723761,0.000254505
Iraq,IRQ,1993,34,18955087,0.000179371
Ireland,IRL,1993,66,3576261,0.001845503
Israel,ISR,1993,223,5261000,0.004238738
Italy,ITA,1993,2403,56831821,0.004228265
Jamaica,JAM,1993,880,2484583,0.035418418
