country,code,Age,Number_of_deaths,Continent
Democratic Republic of Congo,COD,15 to 49,680002,Africa
Denmark,DNK,15 to 49,946,Europe
Djibouti,DJI,15 to 49,14520,Africa
Dominica,DMA,15 to 49,142,North America
Dominican Republic,DOM,15 to 49,51022,North America
Ecuador,ECU,15 to 49,16353,South America
Egypt,EGY,15 to 49,1562,Africa
El Salvador,SLV,15 to 49,11151,North America
Equatorial Guinea,GNQ,15 to 49,21417,Africa
Eritrea,ERI,15 to 49,49047,Africa
Estonia,EST,15 to 49,615,Europe
Eswatini,SWZ,15 to 49,110640,Africa
Ethiopia,ETH,15 to 49,1153140,Africa
Fiji,FJI,15 to 49,206,Oceania
Finland,FIN,15 to 49,169,Europe
France,FRA,15 to 49,37367,Europe
Gabon,GAB,15 to 49,29652,Africa
Gambia,GMB,15 to 49,16458,Africa
Georgia,GEO,15 to 49,272,Europe
Germany,DEU,15 to 49,18683,Europe
Ghana,GHA,15 to 49,338209,Africa
Greece,GRC,15 to 49,722,Europe
Greenland,GRL,15 to 49,46,North America
Grenada,GRD,15 to 49,148,North America
Guam,GUM,15 to 49,100,Oceania
Guatemala,GTM,15 to 49,12038,North America
Guinea,GIN,15 to 49,65257,Africa
Guinea-Bissau,GNB,15 to 49,19715,Africa
Guyana,GUY,15 to 49,5357,South America
Haiti,HTI,15 to 49,200829,North America
Honduras,HND,15 to 49,2660,North America
Hungary,HUN,15 to 49,1737,Europe
Iceland,ISL,15 to 49,42,Europe
India,IND,15 to 49,2034239,Asia
Indonesia,IDN,15 to 49,55043,Asia
Iran,IRN,15 to 49,8687,Asia
Iraq,IRQ,15 to 49,804,Asia
Ireland,IRL,15 to 49,420,Europe
Israel,ISR,15 to 49,669,Asia
Italy,ITA,15 to 49,38956,Europe
Jamaica,JAM,15 to 49,9944,North America
Japan,JPN,15 to 49,1420,Asia
Jordan,JOR,15 to 49,224,Asia
Kazakhstan,KAZ,15 to 49,6991,Asia
Kenya,KEN,15 to 49,1743527,Africa
Kiribati,KIR,15 to 49,27,Oceania
Kuwait,KWT,15 to 49,48,Asia
Kyrgyzstan,KGZ,15 to 49,2975,Asia
Laos,LAO,15 to 49,4051,Asia
Latvia,LVA,15 to 49,2466,Europe
Lebanon,LBN,15 to 49,1029,Asia
Lesotho,LSO,15 to 49,225599,Africa
Liberia,LBR,15 to 49,36421,Africa
Libya,LBY,15 to 49,932,Africa
Lithuania,LTU,15 to 49,1242,Europe
Luxembourg,LUX,15 to 49,103,Europe
Madagascar,MDG,15 to 49,24807,Africa
Malawi,MWI,15 to 49,825035,Africa
Malaysia,MYS,15 to 49,36562,Asia
Maldives,MDV,15 to 49,4,Asia
Mali,MLI,15 to 49,92525,Africa
Malta,MLT,15 to 49,49,Europe
Marshall Islands,MHL,15 to 49,36,Oceania
Mauritania,MRT,15 to 49,706,Africa
Mauritius,MUS,15 to 49,974,Africa
Mexico,MEX,15 to 49,115679,North America
Moldova,MDA,15 to 49,4620,Europe
Monaco,MCO,15 to 49,0,Europe
Mongolia,MNG,15 to 49,99,Asia
Montenegro,MNE,15 to 49,37,Europe
Morocco,MAR,15 to 49,9525,Africa
Mozambique,MOZ,15 to 49,966069,Africa
Myanmar,MMR,15 to 49,195451,Asia
Namibia,NAM,15 to 49,105318,Africa
Nauru,NRU,15 to 49,3,Oceania
Nepal,NPL,15 to 49,23225,Asia
Netherlands,NLD,15 to 49,3745,Europe
New Zealand,NZL,15 to 49,513,North America
Nicaragua,NIC,15 to 49,4584,Africa
Niger,NER,15 to 49,47732,Africa
Nigeria,NGA,15 to 49,1573433,Africa
North Korea,PRK,15 to 49,6078,Asia
North Macedonia,MKD,15 to 49,31,Europe
Northern Mariana Islands,MNP,15 to 49,16,Oceania
Norway,NOR,15 to 49,469,Europe
Oman,OMN,15 to 49,1030,Asia
Pakistan,PAK,15 to 49,23970,Asia
Palau,PLW,15 to 49,10,North America
Palestine,PSE,15 to 49,144,Asia
Panama,PAN,15 to 49,10359,Oceania
Papua New Guinea,PNG,15 to 49,46740,South America
Paraguay,PRY,15 to 49,6292,South America
Peru,PER,15 to 49,35851,Asia
Philippines,PHL,15 to 49,76436,Europe
Poland,POL,15 to 49,2511,Europe
Portugal,PRT,15 to 49,18573,Europe
Puerto Rico,PRI,15 to 49,15649,North America
Qatar,QAT,15 to 49,72,Asia
Romania,ROU,15 to 49,2963,Europe
Russia,RUS,15 to 49,311407,Europe
Rwanda,RWA,15 to 49,158134,Africa
Saint Kitts and Nevis,KNA,15 to 49,326,North America
Saint Lucia,LCA,15 to 49,195,North America
Saint Vincent and the Grenadines,VCT,15 to 49,533,North America
Samoa,WSM,15 to 49,116,Oceania
San Marino,SMR,15 to 49,0,Europe
Sao Tome and Principe,STP,15 to 49,10,Africa
